,userId,movieId,rating
3008,17,103335,4
3026,18,95,3
3028,18,141,4
3030,18,160,3
3040,18,329,3
3055,18,500,4
3070,18,733,4
3073,18,780,4
3076,18,858,3
3082,18,1097,3
3091,18,1210,5
3101,18,1270,2
3111,18,1573,4
3117,18,1653,3.5
3122,18,1917,3.5
3131,18,2174,4
3151,18,2858,4.5
3158,18,3271,4
3162,18,3499,3
3174,18,4963,4
3176,18,5064,4.5
3221,19,594,2.5
3229,19,858,5
3234,19,1029,2
3242,19,1210,4
3246,19,1270,4
3259,19,1673,4
3264,19,1907,2.5
3265,19,1909,3
3273,19,2273,2
3282,19,2412,4
3319,19,4367,2.5
3330,19,4963,2.5
3335,19,5218,3
3338,19,5444,3
3368,19,6660,4.5
3399,19,8917,2
3400,19,8947,2
3431,19,31660,3.5
3444,19,39183,3.5
3461,19,48385,3
3478,19,55442,4
3483,19,58559,2.5
3485,19,59784,3.5
3486,19,60040,2.5
3489,19,60609,1.5
3526,19,83134,3.5
3532,19,85788,3
3554,19,94864,2.5
3563,19,97401,4
3564,19,97752,3
3575,19,103228,5
3589,19,107306,3.5
3591,19,108977,4
3594,19,109364,5
3604,19,112512,4
3630,19,130644,4
3637,19,136020,2
3646,19,142450,4.5
3649,19,142843,3
3671,20,780,5
3672,20,858,5
3674,20,1097,5
3680,20,1210,5
3683,20,1250,4.5
3684,20,1266,4.5
3685,20,1270,4
3688,20,1372,4.5
3692,20,2001,4
3700,20,2804,4.5
3703,20,2949,4.5
3709,20,3508,5
3713,20,3873,5
3716,20,4571,1
3749,21,1210,4
3754,21,4344,3.5
3755,21,4388,0.5
3789,21,58559,5
3791,21,59615,3.5
3794,21,62849,4
3816,21,90746,3.5
3828,21,115569,3.5
3840,21,136020,4
3842,22,150,5
3852,22,316,5
3854,22,329,5
3882,23,105,4
3886,23,150,5
3887,23,156,5
3897,23,236,3
3903,23,281,4
3921,23,440,4
3958,23,733,4
3963,23,848,4
3966,23,858,5
3988,23,1097,5
3999,23,1183,5
4010,23,1210,5
4022,23,1247,5
4027,23,1259,4
4029,23,1266,4
4030,23,1270,5
4035,23,1298,3
4057,23,1526,2
4059,23,1573,3
4067,23,1653,5
4070,23,1673,3
4071,23,1674,5
4082,23,1810,3
4090,23,1884,2
4109,23,2001,4
4135,23,2243,5
4144,23,2301,4
4146,23,2321,4
4148,23,2334,3
4162,23,2406,4
4184,23,2599,4
4206,23,2858,5
4212,23,2928,4
4213,23,2929,5
4239,24,858,4
4245,24,2273,4
4248,24,2581,3
4259,24,58559,4.5
4271,25,141,3
4273,25,150,4
4277,25,160,3
4291,25,236,3
4298,25,280,5
4299,25,281,4
4308,25,316,3
4328,25,440,4
4333,25,500,3
4346,25,733,4
4364,26,780,3.5
4367,26,1210,3
4368,26,1270,3
4376,26,2858,3.5
4397,27,940,4
4404,27,1097,2
4411,27,1247,3
4413,27,1270,4
4431,27,2858,4
4438,27,3365,5
4450,28,316,5
4453,28,610,5
4458,28,1097,5
4463,28,1210,5
4467,28,1270,4
4470,28,1407,5
4473,28,1573,4
4478,28,1909,5
4492,28,3033,5
4498,29,147,3.5
4508,29,1673,3.5
4514,29,2950,2.5
4518,29,6755,3.5
4531,30,500,4
4541,30,2273,5
4544,30,2987,5
4545,30,3033,3.5
4573,31,95,2
4576,31,141,3.5
4578,31,150,3
4608,31,500,2.5
4624,31,733,2.5
4627,31,780,2
4630,31,858,3
4637,31,940,2.5
4645,31,1097,3
4648,31,1183,2
4654,31,1210,1
4664,31,1259,2.5
4667,31,1270,3.5
4672,31,1339,1
4680,31,1485,1.5
4683,31,1573,3.5
4690,31,1653,2
4696,31,1917,2
4708,31,2072,2
4713,31,2174,1
4717,31,2321,2.5
4722,31,2406,2
4747,31,2858,3
4754,31,2987,2.5
4763,31,3251,3
4766,31,3364,2.5
4768,31,3401,2
4773,31,3525,1.5
4785,31,3824,2
4809,31,4370,1.5
4820,31,4963,4
4844,31,5707,3.5
4863,31,6620,1.5
4870,31,6957,3
4874,31,7293,2
4894,31,8973,2.5
4897,31,27317,3
4899,31,30812,3
4902,31,33166,1
4923,31,49007,3.5
4941,31,55805,3.5
4948,31,58559,2
4968,32,160,4
4988,32,500,4
5004,33,858,5
5017,33,58559,5
5027,34,858,4.5
5031,34,1247,3.5
5049,34,78499,4.5
5054,35,150,5
5067,35,2858,4
5074,35,5064,5
5080,35,58559,4
5084,35,80166,3.5
5100,35,168326,4.5
5109,36,95,3
5110,36,105,3
5112,36,141,3
5114,36,150,5
5117,36,160,2
5126,36,243,2
5132,36,281,4
5135,36,329,4
5145,36,440,3
5155,36,500,4
5167,36,594,3
5177,36,733,3
5189,36,1183,3
5193,36,1210,5
5217,37,858,4.5
5220,37,1209,5
5227,37,2858,5
5250,37,58559,4
5270,37,115569,3
5275,38,105,4.5
5298,38,1250,3.5
5304,38,1372,4
5310,38,1909,3.5
5320,38,2858,5
5346,38,4223,4
5348,38,4235,4.5
5351,38,4343,2.5
5352,38,4367,1.5
5359,38,4963,3
5364,38,5014,4
5366,38,5218,2.5
5383,38,5881,2.5
5435,38,30812,3.5
5437,38,32031,2.5
5440,38,33166,3.5
5456,38,45517,3
5459,38,48043,3.5
5480,38,58559,3
5482,38,59615,3
5483,38,59784,3.5
5485,38,60074,2.5
5501,38,73321,3
5505,38,80549,3.5
5514,38,94864,3
5521,38,102445,3
5533,39,1372,4
5536,39,2019,4
5539,39,2949,4
5550,39,58559,4.5
5566,40,785,4
5567,40,858,5
5578,40,1210,4.5
5583,40,1266,4
5599,40,2858,5
5606,40,4235,4.5
5621,40,48385,4.5
5624,40,48738,4
5630,40,58559,4.5
5644,41,95,4
5649,41,163,4
5656,41,329,3
5674,41,610,5
5675,41,733,4
5677,41,780,5
5679,41,798,3
5680,41,858,4
5683,41,940,4
5689,41,1129,3
5695,41,1210,4
5710,41,1372,2
5722,41,1573,4
5739,41,1917,4
5744,41,2001,4
5748,41,2019,5
5760,41,2273,4
5774,41,2406,4
5781,41,2447,3
5820,41,2949,4
5845,42,1097,2
5869,43,95,3
5871,43,141,3
5872,43,150,4
5885,43,316,3
5887,43,329,3.5
5922,43,724,2.5
5923,43,733,4
5928,43,780,3.5
5936,43,1029,3
5942,43,1097,4
5947,43,1183,3.5
5957,43,1210,4
5969,43,1259,3.5
5972,43,1266,3.5
5973,43,1270,4
5977,43,1285,3
5991,43,1485,3
5995,43,1573,3
6002,43,1653,3.5
6004,43,1674,3.5
6013,43,1917,4
6020,43,2001,3
6023,43,2019,4.5
6032,43,2137,3.5
6035,43,2174,3
6040,43,2321,4
6044,43,2406,3
6064,43,2858,5
6070,43,2949,3.5
6074,43,2987,3
6125,43,4370,2.5
6132,43,4963,3.5
6140,43,5218,3
6213,43,26504,2.5
6248,43,45517,3.5
6253,43,46530,2.5
6256,43,46972,2.5
6259,43,47516,2.5
6280,44,1210,5
6284,44,58559,5
6295,44,73321,5
6318,44,94864,4
6320,44,95875,4
6323,44,97752,3.5
6334,45,83,5
6337,45,141,4
6338,45,150,4
6346,45,645,4
6361,45,765,3
6364,45,780,3
6371,45,803,4
6373,45,809,3
6377,46,105,2.5
6386,46,610,4.5
6414,46,1247,4
6418,46,1270,4.5
6428,46,1653,4.5
6430,46,1673,4
6450,46,2804,4.5
6455,46,3035,4.5
6470,46,3365,4
6496,46,5385,3
6508,46,7001,3
6515,46,7366,5
6520,46,8039,5
6521,46,8337,4
6531,46,33166,4.5
6549,47,95,2
6553,47,156,3
6569,47,326,3
6595,47,733,3
6599,47,780,3
6604,47,1183,4
6615,48,95,4
6627,48,733,5
6629,48,780,5
6646,49,435,3
6650,49,500,5
6661,50,150,3.5
6671,50,500,5
6673,50,780,5
6677,50,1485,4
6693,50,2858,4
6708,50,4235,5
6712,50,4367,5
6724,50,8873,4
6730,50,48385,4.5
6742,51,150,3.5
6746,51,1210,3.5
6747,51,2858,4
6756,51,180081,3
6769,52,2858,5
6772,52,3271,4
6776,52,8873,3.5
6784,52,80463,5
6794,53,1247,5
6800,53,2929,5
6816,54,236,4.5
6827,54,1674,3.5
6844,55,610,4
6865,55,4235,4
6870,55,5319,4.5
6875,55,7063,4.5
6885,55,48738,2.5
6888,55,71033,4
6890,55,96829,4.5
6899,56,780,5
6900,56,1210,4
6901,56,1270,2
6906,56,1917,0.5
6911,56,2858,4
6928,57,101,4.5
6931,57,150,4
6946,57,435,2.5
6948,57,500,3.5
6956,57,663,4.5
6960,57,780,3.5
6971,57,1247,4.5
6973,57,1270,4.5
6980,57,1485,4
6981,57,1573,4
6986,57,1653,4.5
6994,57,1909,4.5
6995,57,1917,2
7026,57,2858,5
7065,57,4370,3
7071,57,4649,4
7073,57,4744,1
7080,57,4963,4.5
7110,57,6223,5
7114,57,6323,4
7131,57,7293,3.5
7149,57,8798,4.5
7152,57,8917,4
7157,57,8974,3.5
7164,57,27904,4.5
7169,57,31420,3.5
7174,57,33166,4
7204,57,45517,3.5
7210,57,46970,4
7215,57,48043,5
7224,57,51694,4
7226,57,52973,4.5
7249,57,58559,4
7255,57,59784,4
7278,58,163,4
7307,58,1209,3.5
7310,58,1233,4
7314,58,1250,4.5
7317,58,1259,3.5
7319,58,1266,5
7352,58,3035,4
7354,58,3334,3.5
7382,59,28,4
7388,59,141,4
7408,59,440,3.5
7421,59,594,3
7433,59,858,3.5
7453,59,1086,4
7457,59,1097,3.5
7485,59,1247,3
7486,59,1250,4
7491,59,1266,4
7511,59,1407,3
7520,59,1730,3
7523,59,1927,3
7528,59,1998,2
7531,59,2019,3.5
7540,59,2137,3.5
7542,59,2174,4
7546,59,2321,3.5
7566,59,2858,4.5
7572,59,3035,3.5
7585,59,3271,3
7597,59,3499,5
7615,59,3873,3
7638,59,4571,3.5
7657,59,5008,3.5
7658,59,5013,4
7663,59,5064,2.5
7675,59,5646,3.5
7700,59,7001,2.5
7713,59,7480,3
7738,59,8879,4
7756,60,1674,4
7769,60,2243,5
7774,60,2406,3
7784,60,2858,2
7786,60,2885,3
7788,60,2929,5
7799,61,28,3
7820,61,329,4
7824,61,361,2
7844,61,585,3
7848,61,594,4
7852,61,627,4
7856,61,724,3
7861,61,858,5
7900,61,1210,5
7905,61,1247,5
7908,61,1270,4
7915,61,1372,4
7926,61,1407,2
7932,61,1460,2
7934,61,1485,3
7940,61,1562,3
7961,61,1907,4
7964,61,1917,3
7997,61,2188,3
8002,61,2316,4
8003,61,2321,4
8013,61,2447,3
8014,61,2485,2
8026,61,2581,4
8027,61,2599,4
8040,61,2804,4
8044,61,2858,5
8051,61,2987,3
8053,61,3033,4
8074,61,3301,4
8102,61,4153,3
8105,61,4223,3
8120,62,858,5
8144,62,2858,5
8154,62,3989,4
8158,62,4223,4.5
8160,62,4235,4.5
8163,62,4963,4.5
8179,62,6223,4
8184,62,6867,4.5
8189,62,7293,3.5
8200,62,8917,4
8213,62,33166,3.5
8228,62,39183,4
8259,62,48738,4
8264,62,49526,3
8274,62,51312,4
8291,62,56145,3
8295,62,58559,4
8300,62,60753,4
8321,63,7293,4.5
8333,63,80549,3.5
8359,64,858,4.5
8365,64,1210,5
8366,64,1270,3
8381,64,58559,5
8386,64,78499,4.5
8389,64,80463,4
8400,64,115569,3.5
8409,65,73321,5
8437,65,160438,5
8445,66,150,3
8454,66,500,1.5
8464,66,785,2.5
8467,66,1270,4
8468,66,1485,3
8469,66,1573,2.5
8471,66,1653,3.5
8480,66,2321,5
8505,66,4963,5
8507,66,5218,4
8509,66,5620,4
8512,66,6323,3
8529,67,316,3
8532,67,366,2
8539,67,546,1
8543,67,585,3
8546,67,594,2
8556,67,780,3
8563,67,1029,3
8564,67,1030,1
8569,67,1097,4
8570,67,1270,3
8577,67,1562,2
8583,67,1907,3
8600,67,2089,4
8605,67,2137,3
8613,67,2174,3
8615,67,2273,3
8627,67,2858,5
8628,67,2987,4
8635,67,3439,1
8636,67,3440,1
8655,68,4963,2.5
8675,68,58559,5
8718,69,780,4
8726,69,1210,5
8728,69,1233,4.5
8731,69,1259,5
8746,69,2174,4
8758,69,2858,5
8779,69,4367,0.5
8819,69,48738,5
8828,69,58559,5
8838,70,141,3
8839,70,150,4
8846,70,316,1.5
8848,70,329,2
8858,70,500,3.5
8870,70,780,2
8871,70,858,4.5
8880,70,1097,3
8890,70,1210,3.5
8897,70,1247,3.5
8901,70,1270,3.5
8929,70,2174,2
8943,70,2858,4
8969,70,4963,3
8972,70,5013,3.5
8988,70,6991,3.5
9005,70,30812,3.5
9014,70,48385,2
9031,71,150,5
9058,71,80463,4
9089,72,95,2
9094,72,141,4
9095,72,147,4
9096,72,150,4
9100,72,163,3
9106,72,193,1
9110,72,203,4
9117,72,236,3
9125,72,281,3
9145,72,361,3
9162,72,440,5
9177,72,500,2
9194,72,550,3
9207,72,594,4
9217,72,663,2
9219,72,674,2
9224,72,724,3
9225,72,733,3
9229,72,780,4
9230,72,785,1
9237,72,858,5
9293,72,1097,4
9298,72,1126,2
9314,72,1210,5
9329,72,1247,4
9330,72,1250,4
9335,72,1259,4
9336,72,1260,5
9343,72,1270,5
9350,72,1285,4
9355,72,1298,3
9362,72,1339,4
9363,72,1342,4
9383,72,1407,4
9392,72,1485,2
9404,72,1562,1
9406,72,1573,2
9411,72,1591,2
9427,72,1653,3
9430,72,1673,3
9431,72,1674,4
9454,72,1799,4
9457,72,1807,3
9458,72,1810,3
9459,72,1816,1
9468,72,1884,2
9470,72,1909,4
9474,72,1917,3
9481,72,1951,3
9488,72,1974,2
9495,72,2001,4
9512,72,2072,3
9552,72,2174,4
9561,72,2253,3
9578,72,2321,4
9581,72,2334,2
9601,72,2406,5
9623,72,2496,3
9641,72,2599,3
9644,72,2616,3
9650,72,2667,2
9666,72,2736,3
9673,72,2786,2
9676,72,2794,1
9680,72,2804,2
9687,72,2858,5
9693,72,2889,4
9709,72,2987,4
9713,72,3033,3
9721,72,3087,4
9745,72,3251,5
9751,72,3258,3
9759,72,3271,5
9765,72,3301,5
9769,72,3334,4
9791,72,3499,3
9821,72,3706,2
9843,72,3868,2
9846,72,3877,1
9893,73,141,4
9902,73,724,3
9903,73,733,3
9906,73,765,5
9908,73,780,2
9911,73,842,3
9918,74,150,1
9927,74,329,3
9947,75,105,3.5
9953,75,236,2.5
9973,75,440,3
9979,75,500,3.5
9994,75,733,3.5
10018,75,1086,4.5
10024,75,1097,2.5
10028,75,1183,2
10037,75,1209,4.5
10038,75,1210,4
10044,75,1250,3.5
10045,75,1259,3
10049,75,1266,4
10050,75,1270,5
10052,75,1285,3.5
10065,75,1407,3.5
10071,75,1573,2.5
10077,75,1674,4.5
10085,75,1907,3
10095,75,2001,3
10108,75,2186,4.5
10120,75,2406,4
10132,75,2581,2.5
10146,75,2858,3.5
10176,75,3499,3
10189,75,3868,3.5
10198,75,4232,2.5
10213,75,5064,2.5
10243,75,8798,3.5
10258,75,39183,3.5
10269,75,46972,2.5
10283,75,52973,2.5
10297,75,58559,3
10327,75,78499,4
10330,75,79185,3.5
10355,75,94864,1
10389,75,116823,3
10395,75,136020,3
10435,76,1342,3.5
10442,76,1884,5
10446,76,2174,4
10472,76,5291,4
10482,76,7154,3.5
10492,76,8917,4.5
10497,76,27904,5
10520,76,46970,5
10526,76,48738,3.5
10530,76,52245,4.5
10536,76,55442,4.5
10543,76,58559,2
10553,76,69640,4
10565,76,72712,3.5
10572,76,79357,3.5
10591,77,150,3
10594,77,160,3
10598,77,236,3
10604,77,316,3
10606,77,329,4
10617,77,435,2
10636,78,1285,4
10638,78,1907,5
10665,78,30816,4.5
10669,78,47122,4.5
10682,78,80463,5
10683,78,80549,5
10743,80,95,2
10751,80,160,2
10752,80,163,5
10758,80,193,1
10771,80,316,2
10783,80,361,3
10798,80,435,1
10803,80,464,3
10809,80,500,1
10833,80,724,2
10834,80,733,4
10839,80,780,2
10846,80,858,5
10869,80,1210,5
10877,80,1259,2
10879,80,1270,2
10884,80,1342,2
10899,80,1407,4
10913,80,1562,1
10914,80,1573,3
10918,80,1591,2
10930,80,1673,2
10950,80,1799,4
10953,80,1873,1
10959,80,1917,4
10969,80,2001,2
10990,80,2188,4
10995,80,2265,1
10998,80,2273,4
11004,80,2334,3
11015,80,2412,1
11017,80,2447,1
11023,80,2485,4
11037,80,2616,4
11067,80,2858,4
11070,80,2889,1
11079,80,2949,3
11084,80,2987,2
11092,80,3087,2
11101,80,3180,1
11115,80,3301,3
11124,80,3439,1
11125,80,3440,1
11132,80,3499,4
11168,80,3901,1
11175,80,3972,3
11180,80,3986,2
11206,80,4232,1
11208,80,4234,4
11231,80,4343,2
11232,80,4344,4
11237,80,4367,4
11242,81,858,3
11261,81,58559,1
11284,82,1266,3
11288,82,1653,3.5
11289,82,1674,4
11300,82,2858,3.5
11321,82,4235,4.5
11331,82,5014,4
11349,82,6620,3
11350,82,6867,3
11355,82,7177,5
11370,82,33166,3.5
11373,82,39183,2.5
11390,82,55442,5
11425,82,99045,4
11441,83,1653,3.5
11442,83,1917,3.5
11444,83,2001,3.5
11450,83,2804,5
11469,84,307,4
11482,84,858,5
11497,84,1210,3.5
11517,84,1907,3.5
11521,84,2019,3
11537,84,2858,3.5
11564,84,5218,2.5
11610,84,27700,4.5
11612,84,27743,4.5
11615,84,27904,3
11631,84,38701,2.5
11647,84,48385,3
11653,84,55442,3
11660,84,58559,3
11693,84,79357,2
11694,84,80463,4
11726,84,96829,4.5
11745,84,115569,4.5
11749,84,134256,4
11751,84,136020,2
11753,84,139757,4
11755,84,143367,2
11764,84,164917,3.5
11766,84,166024,4.5
11768,84,176371,4.5
11783,85,105,5
11784,85,141,3
11785,85,150,4
11791,85,193,4
11797,85,236,5
11823,85,435,1
11824,85,440,5
11826,85,500,5
11830,85,550,5
11831,85,585,1
11853,86,316,3
11865,86,594,3
11870,86,780,3
11871,86,858,5
11883,86,1097,4
11887,86,1183,4
11894,86,1210,4
11900,86,1233,4
11904,86,1250,5
11906,86,1259,5
11908,86,1270,4
11909,86,1285,4
11922,86,1927,5
11927,86,2001,4
11931,86,2019,5
11941,86,2137,4
11943,86,2174,4
11965,86,2736,4
11969,86,2794,3
11972,86,2804,5
11982,86,2987,5
11983,86,3033,2
11986,86,3087,4
11990,87,150,5
11997,87,1210,5
12000,87,1270,5
12003,87,1372,4
12007,87,1917,1
12020,87,102445,1
12023,88,724,3
12043,88,58559,5
12053,89,105,3.5
12055,89,141,3.5
12077,89,500,4
12094,89,858,5
12113,89,1097,4.5
12116,89,1183,4
12127,89,1233,4
12130,89,1247,4.5
12135,89,1270,3
12142,89,1339,1.5
12150,89,1485,3.5
12161,89,1917,3.5
12193,89,2804,4.5
12198,89,2987,3
12214,89,4370,2
12216,89,4963,3
12242,90,95,5
12244,90,141,3
12251,90,733,4
12254,90,780,3
12259,90,858,4
12261,90,1183,5
12262,90,1210,5
12272,91,1210,3.5
12281,91,2950,3.5
12289,91,4235,3
12291,91,4963,4
12304,91,8973,3
12331,91,71033,4.5
12364,91,102194,3
12367,91,103335,3
12391,91,110433,4.5
12401,91,115170,5
12410,91,119804,3.5
12413,91,136020,1
12439,92,1259,4
12440,92,1270,4
12447,92,1673,3
12462,92,2804,4.5
12470,92,3499,4
12471,92,3508,4
12495,92,8798,4
12497,92,33166,5
12509,93,500,3.5
12518,93,2581,4
12551,93,7293,4
12561,93,8643,4
12574,93,46948,4.5
12575,93,47122,4
12598,93,78499,4
12600,93,80549,4.5
12602,93,83134,4
12632,94,141,5
12633,94,150,4
12635,94,160,1
12649,94,316,3
12651,94,329,3
12663,94,435,3
12667,94,500,3
12684,95,147,4
12695,95,858,5
12712,95,1210,4
12720,95,1266,3
12722,95,1653,4
12726,95,1927,5
12728,95,2019,5
12737,95,2858,4.5
12760,95,5291,3
12803,95,55282,2.5
12806,95,58559,5
12819,95,72733,4
12825,95,74787,4.5
12838,95,94864,2.5
12842,95,96829,4
12844,95,97306,3
12845,95,97752,5
12862,95,112066,3.5
12911,96,58559,2
12920,96,78499,5
12961,97,440,4
12983,97,2001,3.5
12996,97,2858,3
13006,97,4963,4.5
13013,97,6323,4
13017,97,6946,4.5
13030,98,938,3.5
13037,98,1270,4
13042,98,1951,4
13049,98,2485,3
13051,98,2581,3
13063,98,5218,4
13071,98,7293,4
13079,98,8643,4
13081,98,32289,1.5
13103,98,70334,3.5
13108,98,75341,4
13110,98,78499,4.5
13125,98,92509,4
13127,98,94325,3.5
13137,98,103335,4.5
13140,98,107141,4.5
13176,99,858,3
13193,99,1250,3.5
13207,99,2019,2
13230,99,58559,2
13246,100,141,3
13247,100,213,4
13261,100,714,5
13262,100,733,3
13264,100,765,2
13267,100,780,1
13274,100,858,4
13279,100,1183,4
13281,100,1210,4
13282,100,1233,5
13294,100,1485,3
13310,101,858,4
13311,101,1183,4
13315,101,1653,3.5
13375,101,58559,4
13400,101,96829,4
13422,102,141,4.5
13423,102,150,4
13433,102,674,3.5
13452,102,1233,5
13453,102,1250,5
13456,102,1270,5
13477,102,2174,4
13478,102,2243,4
13485,102,2736,4
13488,102,2858,4.5
13495,102,3251,4
13497,102,3341,4.5
13524,102,4394,3.5
13529,102,4571,4.5
13550,102,8190,5
13565,102,39183,5
13575,103,95,3
13577,103,150,5
13587,103,316,3
13594,103,426,5
